name,address,eircode,county
Midland Regional Hospital Portlaoise,"Dublin Road, Portlaoise, Co. Laois, ",R32RW61,Laois
Midland Regional Hospital Tullamore,"Arden Road, Tullamore, Co. Offaly, ",R35NY51,Offaly
St James's Hospital Dublin,"James's Street, Dublin 8, ",D08NHY1,Dublin
Naas General Hospital,"Craddockstown Road, Naas, Co. Kildare, ",W91AE76,Kildare
The Adelaide & Meath Hospital (Tallaght Hospital) Dublin,"Tallaght, Dublin 24",D09C310,Dublin
Cavan General Hospital,"Lisdarn, Cavan, ",H12A5D7,Cavan
Louth County Hospital Dundalk,"Dublin Road, Dundalk",L15H093,Louth
Monaghan Hospital,"Monaghan, ",H18NV91,Monaghan
Our Lady of Lourdes Hospital Drogheda,"Drogheda, Co. Louth, ",A92VW28,Louth
Connolly Hospital Dublin,"Mill Road, Dublin 15, ",D15X40D,Dublin
Beaumont Hospital,"Beaumont Road, Dublin 9, ",D09C562,Dublin
St Luke's General Hospital Kilkenny,"Freshford Road, Kilkenny, ",R95FY71,Kilkenny
Wexford General Hospital,"Newtown Road, Wexford, Y35y17d",W76G21,Wexford
Our Lady's Hospital Navan,"Navan, Co. Meath, ",C15RK7Y,Meath
Midland Regional Hospital Mullingar,"Longford Road, Mullingar, Co. Westmeath, ",N91NA43,Westmeath
St Columcille's Hospital,"Bray Road, Loughlinstown, Co. Dublin, ",D18V9K1,Dublin
St Vincent's University Hospital,"Elm Park, Nutley Lane, Dublin 4, ",D04T6F4,Dublin
St Michael's Hospital Dun Laoghaire,"George's Street Lower, Dun Laoghaire, Co. Dublin, ",A96P902,Dublin
Mater Misericordiae Hospital,"Eccles Street, Dublin 7, ",D07R2WY,Dublin
South Tipperary General Hospital,"Western Road, Clonmel, Co. Tipperary, ",E91VY40,Tipperary
University Hospital Waterford,"Dunmore Road, Waterford, ",X91ER8E,Waterford
Bantry General Hospital,"Carrignagat, Bantry, Co. Cork, ",P75DX93,Cork
Cork University Hospital,"Wilton, Cork, ",T12DC4A,Cork
Mallow General Hospital,"Kilknockin, Mallow, Co. Cork, ",P51N288,Cork
Ennis Hospital,"Gort Road, Ennis, Co. Clare, ",V95HN29,Clare
Roscommon County Hospital,"Ardsallagh Beg, Co. Roscommon, ",F42AX61,Roscommon
Mercy University Hospital,"Grenville Place, Cork, ",T12WE28,Cork
Nenagh Hospital,"Tyone, Nenagh, Co. Tipperary, ",E45PT86,Tipperary
Sligo Regional Hospital,"The Mall, Sligo, ",F91H684,Sligo
University Hospital Galway,"Newcastle Road, Galway, ",H91YR71,Galway
Portiuncula Hospital,"Ballinasloe, Co. Galway, ",H53T971,Galway
South Infirmary Victoria University Hospital,"Old Blackrock Road, Cork, ",T12X23H,Cork
St John's Hospital,"St. John's Square, Limerick",V94Y21,Limerick
Letterkenny University Hospital,"Kilmacrennan Road, Letterkenny, Co. Donegal, ",F92AE81,Donegal
Merlin Park University Hospital,"Galway, ",H91N973,Galway
University Hospital Kerry,"Tralee, Co. Kerry, ",V92NX94,Kerry
University Hospital Limerick,"Saint Nessan's Road, Dooradoyle, Limerick, ",V94F858,Limerick
Mayo General Hospital,"Westport Road, Castlebar, Co. Mayo, ",F23H529,Mayo
